Generator,p_nom_max,investmentEuroPKW,fixedomEuroPKW,installedcapacity,lifetime
BD0 0 solar,409.7,450,10,0,25
BD0 1 solar,409.7,450,10,0,25
BD0 10 solar,409.7,450,10,0,25
BD0 11 solar,409.7,450,10,0,25
BD0 12 solar,409.7,450,10,0,25
BD0 13 solar,409.7,450,10,0,25
BD0 14 solar,409.7,450,10,0,25
BD0 2 solar,409.7,450,10,0,25
BD0 3 solar,409.7,450,10,0,25
BD0 4 solar,409.7,450,10,0,25
BD0 5 solar,409.7,450,10,0,25
BD0 6 solar,409.7,450,10,0,25
BD0 7 solar,409.7,450,10,0,25
BD0 8 solar,409.7,450,10,0,25
BD0 9 solar,409.7,450,10,0,25
BD0 0 onwind,33.3,1100,25,0,25
BD0 1 onwind,33.3,1100,25,0,25
BD0 10 onwind,33.3,1100,25,0,25
BD0 11 onwind,33.3,1100,25,0,25
BD0 12 onwind,33.3,1100,25,0,25
BD0 13 onwind,33.3,1100,25,0,25
BD0 14 onwind,33.3,1100,25,0,25
BD0 2 onwind,33.3,1100,25,0,25
BD0 3 onwind,33.3,1100,25,0,25
BD0 4 onwind,33.3,1100,25,0,25
BD0 5 onwind,33.3,1100,25,0,25
BD0 6 onwind,33.3,1100,25,0,25
BD0 7 onwind,33.3,1100,25,0,25
BD0 8 onwind,33.3,1100,25,0,25
BD0 9 onwind,33.3,1100,25,0,25
BD0 10 offwind-ac,125.0,1500,40,0,25
BD0 11 offwind-ac,125.0,1500,40,0,25
BD0 14 offwind-ac,125.0,1500,40,0,25
BD0 2 offwind-ac,125.0,1500,40,0,25
BD0 4 offwind-ac,125.0,1500,40,0,25
BD0 7 offwind-ac,125.0,1500,40,0,25
BD0 14 offwind-dc,83.3,1800,45,0,25
BD0 2 offwind-dc,83.3,1800,45,0,25
BD0 7 offwind-dc,83.3,1800,45,0,25
