base_demand_MW,ev_demand_MW,total_demand_MW
14143.243354113642,1180,15323.243354113642
15277.567486795833,1260,16537.567486795833
16902.987627488692,1400,18302.987627488692
17222.421300677466,1530,18752.421300677466
17101.560905369748,1520,18621.560905369748
17151.263936954638,1500,18651.263936954638
17150.33314553693,1490,18640.33314553693
17127.479550970376,1270,18397.479550970376
17366.421293641535,660,18026.421293641535
17386.98891369102,625,18011.98891369102
17145.30605180075,750,17895.30605180075
17411.56262719911,785,18196.56262719911
18461.798776177206,785,19246.798776177206
18547.15480942283,775,19322.15480942283
18542.568508979173,805,19347.568508979173
17679.417334558042,730,18409.417334558042
16064.610061208303,620,16684.610061208303
13685.407762775896,570,14255.407762775896
12187.6721126195,560,12747.6721126195
12046.0513783344,545,12591.0513783344
12246.063897570588,460,12706.063897570588
12136.547266391037,460,12596.547266391037
12271.159387324944,615,12886.159387324944
13731.620326544375,1020,14751.620326544375
14121.773645465497,1180,15301.773645465497
15273.968358307306,1260,16533.968358307306
16769.978764018768,1400,18169.978764018768
17119.088076801465,1530,18649.088076801465
17255.472596811607,1520,18775.472596811607
17049.770768799775,1500,18549.770768799775
17150.33314553693,1490,18640.33314553693
17090.763519904176,1270,18360.763519904176
17155.824609881274,660,17815.824609881274
17176.39120483008,625,17801.39120483008
17253.069760816994,750,18003.069760816994
17386.9171566434,785,18171.9171566434
18416.518028927116,785,19201.518028927116
18547.15480942283,775,19322.15480942283
18471.627441499888,805,19276.627441499888
17550.54987783652,730,18280.54987783652
15943.482114623022,620,16563.482114623024
13632.933884052165,570,14202.933884052165
12315.401707585894,560,12875.401707585894
12160.362405395701,545,12705.362405395701
12245.96241260324,460,12705.96241260324
12115.077557742892,460,12575.077557742892
12256.054528800769,615,12871.054528800769
13716.515468020198,1020,14736.515468020198
14104.988646926307,1180,15284.988646926307
15235.197000377111,1260,16495.197000377113
16430.57100407441,1400,17830.57100407441
17109.717631482872,1530,18639.717631482872
17194.507809152972,1520,18714.507809152972
17072.036980676505,1500,18572.036980676505
17119.732865129376,1490,18609.732865129376
17048.248494289524,1270,18318.248494289524
17090.763519904176,660,17750.763519904176
17176.39120483008,625,17801.39120483008
17204.570197430774,750,17954.570197430774
17387.72698618083,785,18172.72698618083
18322.86073037244,785,19107.86073037244
18494.46053405283,775,19269.46053405283
18602.73986871126,805,19407.73986871126
17638.51991781691,730,18368.51991781691
16031.451129502728,620,16651.451129502726
13809.138439988446,570,14379.138439988446
12086.002627147624,560,12646.002627147624
12001.266779813575,545,12546.266779813575
12237.725728637051,460,12697.725728637051
12106.739388809356,460,12566.739388809356
12256.054528800769,615,12871.054528800769
13716.515468020198,1020,14736.515468020198
14100.872867694916,1180,15280.872867694916
15304.4886808618,1260,16564.4886808618
16445.982367701996,1400,17845.982367701996
17213.244599387446,1530,18743.244599387446
17321.208203036353,1520,18841.208203036353
17246.041670552877,1500,18746.041670552877
17124.909623564883,1490,18614.909623564883
17053.425252725032,1270,18323.425252725032
17048.248494289524,660,17708.248494289524
17068.816114339013,625,17693.816114339013
17264.741557162855,750,18014.741557162855
17447.898345912916,785,18232.898345912916
18368.719634406214,785,19153.719634406214
18454.075667651843,775,19229.075667651843
18828.352227236515,805,19633.352227236515
17880.902923471822,730,18610.902923471822
16186.239282026241,620,16806.23928202624
13878.122590269051,570,14448.122590269051
12086.002627147624,560,12646.002627147624
12001.266779813575,545,12546.266779813575
12237.725728637051,460,12697.725728637051
12106.739388809356,460,12566.739388809356
12256.054528800769,615,12871.054528800769
13716.515468020198,1020,14736.515468020198
14100.872867694916,1180,15280.872867694916
15304.4886808618,1260,16564.4886808618
16445.982367701996,1400,17845.982367701996
17311.89003785245,1530,18841.89003785245
17423.558355359943,1520,18943.558355359943
17246.041670552877,1500,18746.041670552877
17225.46789989931,1490,18715.46789989931
17067.73770842334,1270,18337.73770842334
17012.44480282879,660,17672.44480282879
17020.99516760315,625,17645.99516760315
17333.437654152298,750,18083.437654152298
17516.59444290236,785,18301.59444290236
18437.415731395653,785,19222.415731395653
18515.034304706398,775,19290.034304706398
18602.73986871126,805,19407.73986871126
17638.51991781691,730,18368.51991781691
16031.451129502728,620,16651.451129502726
13809.138439988446,570,14379.138439988446
11433.140606282657,560,11993.140606282657
11453.805610896768,545,11998.805610896768
11642.756268691874,460,12102.756268691874
11653.279952275803,460,12113.279952275803
11770.438709026972,615,12385.438709026972
13121.951947944412,1020,14141.951947944412
13320.952692809153,1180,14500.952692809153
14772.432724968497,1260,16032.432724968497
15335.609712414944,1400,16735.609712414946
16207.772546916567,1530,17737.772546916567
16476.704635090504,1520,17996.704635090504
16427.198422836227,1500,17927.198422836227
16419.14420679113,1490,17909.14420679113
16347.65983595129,1270,17617.65983595129
16324.709881920795,660,16984.709881920797
16324.170678962955,625,16949.170678962953
16572.893932325507,750,17322.893932325507
16912.503637103888,785,17697.503637103888
18964.97764590653,785,19749.97764590653
19151.857600327432,775,19926.857600327432
19048.636112425585,805,19853.636112425585
18171.990512649012,730,18901.990512649012
17250.933450999248,620,17870.933450999248
15720.827171560428,570,16290.827171560428
11433.140606282657,560,11993.140606282657
11453.805610896768,545,11998.805610896768
11642.756268691874,460,12102.756268691874
11653.279952275803,460,12113.279952275803
11770.438709026972,615,12385.438709026972
13171.911254699377,1020,14191.911254699377
13320.952692809153,1180,14500.952692809153
14772.432724968497,1260,16032.432724968497
15492.177439719457,1400,16892.177439719457
16377.555872191473,1530,17907.55587219147
16253.079946784339,1520,17773.07994678434
16277.327678276097,1500,17777.327678276095
16363.398206695889,1490,17853.39820669589
16355.714051996383,1270,17625.714051996383
16381.786462699063,660,17041.786462699063
16390.465990159137,625,17015.465990159137
16644.43263350141,750,17394.43263350141
17062.37438166402,785,17847.37438166402
18964.97764590653,785,19749.97764590653
19151.857600327432,775,19926.857600327432
19019.61551216637,805,19824.61551216637
18167.264798512846,730,18897.264798512846
17238.660945654738,620,17858.660945654738
15720.827171560428,570,16290.827171560428
12086.002627147624,560,12646.002627147624
12001.266779813575,545,12546.266779813575
12237.725728637051,460,12697.725728637051
12106.739388809356,460,12566.739388809356
12256.054528800769,615,12871.054528800769
13716.515468020198,1020,14736.515468020198
14100.872867694916,1180,15280.872867694916
15304.4886808618,1260,16564.4886808618
16484.75782603492,1400,17884.75782603492
17350.663445984002,1530,18880.663445984002
17549.653939841945,1520,19069.653939841945
17206.601946979117,1500,18706.601946979117
17185.07995819628,1490,18675.07995819628
17174.55422441099,1270,18444.55422441099
17053.425252725032,660,17713.425252725032
17073.992872774517,625,17698.992872774517
17325.70019421741,750,18075.70019421741
17447.898345912916,785,18232.898345912916
18368.719634406214,785,19153.719634406214
18522.513439269835,775,19297.513439269835
18828.352227236515,805,19633.352227236515
18144.288191864667,730,18874.288191864667
16468.399269378733,620,17088.399269378733
13878.122590269051,570,14448.122590269051
12086.002627147624,560,12646.002627147624
12001.266779813575,545,12546.266779813575
12237.725728637051,460,12697.725728637051
12106.739388809356,460,12566.739388809356
12256.054528800769,615,12871.054528800769
13716.515468020198,1020,14736.515468020198
14100.872867694916,1180,15280.872867694916
15304.4886808618,1260,16564.4886808618
