base_demand_MW,ev_demand_MW,total_demand_MW,h2_electrolyzer_MW
28004.734643417785,1180,29184.734643417785,600
30250.785675704545,1260,31510.785675704545,600
33469.24544369905,1400,34869.24544369905,600
34101.74924992267,1530,35631.74924992267,600
33862.436157815915,1520,35382.436157815915,600
33960.85207103029,1500,35460.85207103029,600
33959.00903078777,1490,35449.00903078777,600
33913.757115405984,1270,35183.757115405984,600
34386.880566031985,660,35046.880566031985,600
34427.6060720076,625,35052.6060720076,600
33949.05498965418,750,34699.05498965418,600
34476.26395823404,785,35261.26395823404,600
36555.81416667346,785,37340.81416667346,600
36724.82582838423,775,37499.82582838423,600
36715.74459265183,805,37520.74459265183,600
35006.6373538382,730,35736.6373538382,600
31809.1918982124,620,32429.1918982124,600
27098.18414967997,570,27668.18414967997,600
24132.549719270686,560,24692.549719270686,600
23852.129522547802,545,24397.129522547802,600
24248.170047788546,460,24708.170047788546,600
24031.318501192458,460,24491.318501192458,600
24297.861092036397,615,24912.861092036397,600
27189.688661984914,1020,28209.688661984914,600
27962.222931039738,1180,29142.222931039738,600
30243.65911811481,1260,31503.65911811481,600
33205.877428779444,1400,34605.877428779444,600
33897.1413363033,1530,35427.1413363033,600
34167.193416772025,1520,35687.193416772025,600
33759.88761251589,1500,35259.88761251589,600
33959.00903078777,1490,35449.00903078777,600
33841.05648504672,1270,35111.05648504672,600
33969.88256226262,660,34629.88256226262,600
34010.606038458216,625,34635.606038458216,600
34162.43561244553,750,34912.43561244553,600
34427.463987407406,785,35212.463987407406,600
36466.154724391046,785,37251.154724391046,600
36724.82582838423,775,37499.82582838423,600
36575.275697340025,805,37380.275697340025,600
34751.4696501298,730,35481.4696501298,600
31569.34903352492,620,32189.34903352492,600
26994.2817411181,570,27564.2817411181,600
24385.464367176013,560,24945.464367176013,600
24078.47435021685,545,24623.47435021685,600
24247.96909956828,460,24707.96909956828,600
23988.806788814414,460,24448.806788814414,600
24267.95228369557,615,24882.95228369557,600
27159.779853644082,1020,28179.779853644082,600
27928.987313274352,1180,29108.987313274352,600
30166.88877885,1260,31426.88877885,600
32533.823359201822,1400,33933.82335920182,600
33878.58711729796,1530,35408.58711729796,600
34046.478340447204,1520,35566.478340447204,600
33803.97646395609,1500,35303.97646395609,600
33898.41806792504,1490,35388.41806792504,600
33756.87338921177,1270,35026.87338921177,600
33841.05648504672,660,34501.05648504672,600
34010.606038458216,625,34635.606038458216,600
34066.4026609544,750,34816.4026609544,600
34429.0675136096,785,35214.0675136096,600
36280.70590421782,785,37065.70590421782,600
36620.48701712176,775,37395.48701712176,600
36834.8886192545,805,37639.8886192545,600
34925.65725084764,730,35655.65725084764,600
31743.53460446276,620,32363.53460446276,600
27343.180625794488,570,27913.180625794488,600
23931.236138595807,560,24491.236138595807,600
23763.45249378672,545,24308.45249378672,600
24231.65981724601,460,24691.65981724601,600
23972.296558271875,460,24432.296558271875,600
24267.95228369557,615,24882.95228369557,600
27159.779853644082,1020,28179.779853644082,600
27920.83774656323,1180,29100.83774656323,600
30304.09175813733,1260,31564.09175813733,600
32564.33907176349,1400,33964.33907176349,600
34083.57865933785,1530,35613.57865933785,600
34297.35508922975,1520,35817.35508922975,600
34148.51944074654,1500,35648.51944074654,600
33908.66845693904,1490,35398.66845693904,600
33767.123778225774,1270,35037.123778225774,600
33756.87338921177,660,34416.87338921177,600
33797.59889518738,625,34422.59889518738,600
34185.546687557086,750,34935.546687557086,600
34548.21154021227,785,35333.21154021227,600
36371.51014242181,785,37156.51014242181,600
36540.521804132586,775,37315.521804132586,600
37281.61884050447,805,38086.61884050447,600
35405.59467294294,730,36135.59467294294,600
32050.02732532123,620,32670.02732532123,600
27479.774671080995,570,28049.774671080995,600
23931.236138595807,560,24491.236138595807,600
23763.45249378672,545,24308.45249378672,600
24231.65981724601,460,24691.65981724601,600
23972.296558271875,460,24432.296558271875,600
24267.95228369557,615,24882.95228369557,600
27159.779853644082,1020,28179.779853644082,600
27920.83774656323,1180,29100.83774656323,600
30304.09175813733,1260,31564.09175813733,600
32564.33907176349,1400,33964.33907176349,600
34278.90438900456,1530,35808.90438900456,600
34500.01644382647,1520,36020.01644382647,600
34148.51944074654,1500,35648.51944074654,600
34107.7817560909,1490,35597.7817560909,600
33795.46356662447,1270,35065.46356662447,600
33685.97926305498,660,34345.97926305498,600
33702.90965805809,625,34327.90965805809,600
34321.57036466281,750,35071.57036466281,600
34684.235217318004,785,35469.235217318004,600
36507.53381952753,785,37292.53381952753,600
36661.22470177739,775,37436.22470177739,600
36834.8886192545,805,37639.8886192545,600
34925.65725084764,730,35655.65725084764,600
31743.53460446276,620,32363.53460446276,600
27343.180625794488,570,27913.180625794488,600
22638.51796955073,560,23198.51796955073,600
22679.4363046266,545,23224.4363046266,600
23053.57347385745,460,23513.57347385745,600
23074.4111953659,460,23534.4111953659,600
23306.394751882643,615,23921.394751882643,600
25982.497303136606,1020,27002.497303136606,600
26376.534435514626,1180,27556.534435514626,600
29250.579102858857,1260,30510.579102858857,600
30365.713849241474,1400,31765.713849241474,600
32092.664884059453,1530,33622.66488405946,600
32625.171578446545,1520,34145.17157844655,600
32527.145382992694,1500,34027.14538299269,600
32511.197401510926,1490,34001.19740151093,600
32369.652722797655,1270,33639.652722797655,600
32324.21000809561,660,32984.210008095615,600
32323.14234381415,625,32948.14234381415,600
32815.6339552266,750,33565.6339552266,600
33488.08789146477,785,34273.08789146477,600
37552.14791927386,785,38337.14791927386,600
37922.184932899116,775,38697.184932899116,600
37717.79826530003,805,38522.79826530003,600
35981.971002529936,730,36711.971002529936,600
34158.205550919745,620,34778.205550919745,600
31128.474727582947,570,31698.474727582947,600
22638.51796955073,560,23198.51796955073,600
22679.4363046266,545,23224.4363046266,600
23053.57347385745,460,23513.57347385745,600
23074.4111953659,460,23534.4111953659,600
23306.394751882643,615,23921.394751882643,600
26081.420661351676,1020,27101.420661351676,600
26376.534435514626,1180,27556.534435514626,600
29250.579102858857,1260,30510.579102858857,600
30675.73026818477,1400,32075.73026818477,600
32428.849226798488,1530,33958.849226798484,600
32182.377100621947,1520,33702.37710062195,600
32230.389516807514,1500,33730.38951680751,600
32400.815935180213,1490,33890.81593518022,600
32385.600704279437,1270,33655.60070427944,600
32437.226128869923,660,33097.22612886992,600
32454.41227615339,625,33079.412276153394,600
32957.286212280014,750,33707.286212280014,600
33784.843757649964,785,34569.843757649964,600
37552.14791927386,785,38337.14791927386,600
37922.184932899116,775,38697.184932899116,600
37660.335193421575,805,38465.335193421575,600
35972.613716717155,730,36702.613716717155,600
34133.90502472658,620,34753.90502472658,600
31128.474727582947,570,31698.474727582947,600
23931.236138595807,560,24491.236138595807,600
23763.45249378672,545,24308.45249378672,600
24231.65981724601,460,24691.65981724601,600
23972.296558271875,460,24432.296558271875,600
24267.95228369557,615,24882.95228369557,600
27159.779853644082,1020,28179.779853644082,600
27920.83774656323,1180,29100.83774656323,600
30304.09175813733,1260,31564.09175813733,600
32641.117530148313,1400,34041.117530148316,600
34355.678787829376,1530,35885.678787829376,600
34749.69562240738,1520,36269.69562240738,600
34070.42568491991,1500,35570.42568491991,600
34027.81045376171,1490,35517.81045376171,600
34006.96867269326,1270,35276.96867269326,600
33767.123778225774,660,34427.123778225774,600
33807.84928420138,625,34432.84928420138,600
34306.24958520189,750,35056.24958520189,600
34548.21154021227,785,35333.21154021227,600
36371.51014242181,785,37156.51014242181,600
36676.03397667761,775,37451.03397667761,600
37281.61884050447,805,38086.61884050447,600
35927.11822773503,730,36657.11822773503,600
32608.726300864088,620,33228.72630086409,600
27479.774671080995,570,28049.774671080995,600
23931.236138595807,560,24491.236138595807,600
23763.45249378672,545,24308.45249378672,600
24231.65981724601,460,24691.65981724601,600
23972.296558271875,460,24432.296558271875,600
24267.95228369557,615,24882.95228369557,600
27159.779853644082,1020,28179.779853644082,600
27920.83774656323,1180,29100.83774656323,600
30304.09175813733,1260,31564.09175813733,600
32641.117530148313,1400,34041.117530148316,600
34355.678787829376,1530,35885.678787829376,600
34664.64784029126,1520,36184.64784029126,600
34027.81045376171,1500,35527.81045376171,600
34107.7817560909,1490,35597.7817560909,600
33767.123778225774,1270,35037.123778225774,600
33609.9802401912,660,34269.9802401912,600
33751.71571822473,625,34376.71571822473,600
34066.4026609544,750,34816.4026609544,600
34457.40730200829,785,35242.40730200829,600
36371.51014242181,785,37156.51014242181,600
36540.521804132586,775,37315.521804132586,600
36834.8886192545,805,37639.8886192545,600
35767.130967916586,730,36497.130967916586,600
32409.416113051957,620,33029.41611305196,600
27479.774671080995,570,28049.774671080995,600
23931.236138595807,560,24491.236138595807,600
23763.45249378672,545,24308.45249378672,600
24231.65981724601,460,24691.65981724601,600
23972.296558271875,460,24432.296558271875,600
24267.95228369557,615,24882.95228369557,600
27159.779853644082,1020,28179.779853644082,600
27920.83774656323,1180,29100.83774656323,600
30304.09175813733,1260,31564.09175813733,600
32564.33907176349,1400,33964.33907176349,600
34144.00115046036,1530,35674.00115046036,600
34508.72420003836,1520,36028.72420003836,600
34027.81045376171,1500,35527.81045376171,600
33908.66845693904,1490,35398.66845693904,600
33767.123778225774,1270,35037.123778225774,600
33601.347585839416,660,34261.347585839416,600
33751.71571822473,625,34376.71571822473,600
34066.4026609544,750,34816.4026609544,600
34429.0675136096,785,35214.0675136096,600
37058.98851024049,785,37843.98851024049,600
37228.000171951266,775,38003.000171951266,600
37455.06760130131,805,38260.06760130131,600
35794.37061555378,730,36524.37061555378,600
32365.944314732595,620,32985.944314732595,600
27479.774671080995,570,28049.774671080995,600
23931.236138595807,560,24491.236138595807,600
23763.45249378672,545,24308.45249378672,600
24231.65981724601,460,24691.65981724601,600
23972.296558271875,460,24432.296558271875,600
24267.95228369557,615,24882.95228369557,600
27209.868734772466,1020,28229.868734772466,600
27920.83774656323,1180,29100.83774656323,600
30304.09175813733,1260,31564.09175813733,600
32641.117530148313,1400,34041.117530148316,600
34355.678787829376,1530,35885.678787829376,600
34579.64877289519,1520,36099.64877289519,600
34027.81045376171,1500,35527.81045376171,600
34027.81045376171,1490,35517.81045376171,600
34006.96867269326,1270,35276.96867269326,600
33767.123778225774,660,34427.123778225774,600
33807.84928420138,625,34432.84928420138,600
34185.546687557086,750,34935.546687557086,600
34548.21154021227,785,35333.21154021227,600
36371.51014242181,785,37156.51014242181,600
36540.521804132586,775,37315.521804132586,600
37281.61884050447,805,38086.61884050447,600
35994.23899286668,730,36724.23899286668,600
32565.808632485492,620,33185.808632485496,600
27479.774671080995,570,28049.774671080995,600
23931.236138595807,560,24491.236138595807,600
23763.45249378672,545,24308.45249378672,600
24231.65981724601,460,24691.65981724601,600
23972.296558271875,460,24432.296558271875,600
24267.95228369557,615,24882.95228369557,600
