base_demand_MW,morphed_base_demand_MW,ev_demand_MW,total_demand_MW
15727.965686764444,61966.43358901655,3540.0,65506.43358901655
16989.38858601091,63947.98088296678,3780.0,67727.98088296677
18796.93382576368,66787.42226354132,4200.0,70987.42226354132
19152.1594077126,67345.43995219535,4590.0,71935.43995219535
19017.756845111166,67134.30930411378,4560.0,71694.30930411378
19073.02900268653,67221.13537516391,4500.0,71721.13537516391
19071.993917938802,67219.50937853575,4470.0,71689.50937853575
19046.57962348297,67179.58650537663,3810.0,70989.58650537663
19312.294313937942,67596.9930913427,1980.0,69576.9930913427
19335.166494971483,67632.92260273878,1875.0,69507.92260273878
19066.40354833212,67210.72756414747,2250.0,69460.72756414747
19362.493644280497,67675.85034631866,2355.0,70030.85034631866
20530.40666822792,69510.50460347121,2355.0,71865.50460347121
20625.326675501572,69659.61279206301,2325.0,71984.61279206301
20620.226489200526,69651.60099810435,2415.0,72066.60099810435
19660.360939702117,68143.76490023358,2190.0,70333.76490023358
17864.61771800359,65322.86310456154,1860.0,67182.86310456155
15218.830526571845,61166.64202067161,1710.0,62876.64202067161
13553.276570968575,58550.2522788766,1680.0,60230.2522788766
13395.787514632528,58302.85545930413,1635.0,59937.85545930413
13618.211039470987,58652.25670611661,1380.0,60032.25670611661
13496.423287242214,58460.94244425457,1380.0,59840.94244425457
13646.11842901854,58696.095938995764,1845.0,60541.095938995764
15270.221116343226,61247.370604366115,3060.0,64307.370604366115
15704.090339896102,61928.928221857495,3540.0,65468.928221857495
16985.386182322272,63941.693576621496,3780.0,67721.6935766215
18649.021583266487,66555.0694942698,4200.0,70755.0694942698
19037.247901296938,67164.9274652905,4590.0,71754.9274652905
19188.914035946418,67403.17715845692,4560.0,71963.17715845692
18960.16372658164,67043.83727586652,4500.0,71543.83727586652
19071.993917938802,67219.50937853575,4470.0,71689.50937853575
19005.74963404526,67115.44738507793,3810.0,70925.44738507793
19078.100689958166,67229.1024004929,1980.0,69209.1024004929
19100.97173103053,67265.0301211438,1875.0,69140.0301211438
19186.241966950078,67398.97965174279,2250.0,69648.97965174279
19335.08669768917,67632.79725057581,2355.0,69987.79725057581
20480.052303165445,69431.40380715007,2355.0,71786.40380715007
20625.326675501572,69659.61279206301,2325.0,71984.61279206301
20541.336615982575,69527.67426830702,2415.0,71942.67426830702
19517.05414035562,67918.64674151034,2190.0,70108.64674151034
17729.917625535236,65111.26507198663,1860.0,66971.26507198662
15160.477053937986,61074.97556538583,1710.0,62784.97556538583
13695.318013409813,58773.38271044429,1680.0,60453.38271044429
13522.90686528105,58502.545036397394,1635.0,60137.545036397394
13618.098183314572,58652.07942234327,1380.0,60032.07942234327
13472.547940373872,58423.4370770955,1380.0,59803.4370770955
13629.32110109145,58669.70930869168,1845.0,60514.70930869168
15253.423788416134,61220.98397406202,3060.0,64280.98397406202
15685.424615601683,61899.60656019484,3540.0,65439.60656019484
16942.27057072686,63873.964012226446,3780.0,67653.96401222644
18271.583857804893,65962.15913568196,4200.0,70162.15913568196
19026.82751618791,67148.55826355248,4590.0,71738.55826355248
19121.11826489246,67296.67796080204,4560.0,71856.67796080204
18984.92482328366,67082.7340520345,4500.0,71582.7340520345
19037.96493687659,67166.053844012,4470.0,71636.053844012
18958.470884235398,67041.17801926647,3810.0,70851.17801926647
19005.74963404526,67115.44738507793,1980.0,69095.44738507793
19100.97173103053,67265.0301211438,1875.0,69140.0301211438
19132.308123795236,67314.25591554008,2250.0,69564.25591554008
19335.987267018136,67634.21193927212,2355.0,69989.21193927212
20375.900890289235,69267.79416404844,2355.0,71622.79416404844
20566.728111214885,69567.56132656241,2325.0,71892.56132656241
20687.13993030433,69756.7141589859,2415.0,72171.7141589859
19614.881048627856,68072.32133032441,2190.0,70262.32133032441
17827.743393846296,65264.937870055524,1860.0,67124.93787005552
15356.42498046584,61382.786755271765,1710.0,63092.786755271765
13440.215221541424,58372.64617140737,1680.0,60052.64617140737
13345.984890779197,58224.62138365264,1635.0,59859.62138365264
13608.938595266103,58637.69078478009,1380.0,60017.69078478009
13463.27549616899,58408.87115575899,1380.0,59788.87115575899
13629.32110109145,58669.70930869168,1845.0,60514.70930869168
15253.423788416134,61220.98397406202,3060.0,64280.98397406202
15680.84767148039,61892.41671827621,3540.0,65432.41671827621
17019.326246412766,63995.009433020794,3780.0,67775.0094330208
18288.72203412358,65989.08119879641,4200.0,70189.08119879641
19141.95447526582,67329.40920129734,4590.0,71919.40920129734
19262.015186313085,67518.01048420378,4560.0,72078.01048420378
19178.42639312801,67386.70230275298,4500.0,71886.70230275298
19043.721740814963,67175.09710719733,4470.0,71645.09710719733
18964.22768817377,67050.2212824518,3810.0,70860.2212824518
18958.470884235398,67041.17801926647,1980.0,69021.17801926647
18981.343065268942,67077.10753066256,1875.0,68952.10753066256
19199.22156489903,67419.3690764216,2250.0,69669.3690764216
19402.90070812194,67739.32510015364,2355.0,70094.32510015364
20426.898193454923,69347.90494065404,2355.0,71702.90494065404
20521.81820072858,69497.01312924582,2325.0,71822.01312924582
20938.03170558889,70150.83568530864,2415.0,72565.83568530864
19884.42258875037,68495.73944787723,2190.0,70685.73944787723
17999.875251486956,65535.33681153203,1860.0,67395.33681153203
15433.138667798976,61503.29495251056,1710.0,63213.29495251056
13440.215221541424,58372.64617140737,1680.0,60052.64617140737
13345.984890779197,58224.62138365264,1635.0,59859.62138365264
13608.938595266103,58637.69078478009,1380.0,60017.69078478009
13463.27549616899,58408.87115575899,1380.0,59788.87115575899
13629.32110109145,58669.70930869168,1845.0,60514.70930869168
15253.423788416134,61220.98397406202,3060.0,64280.98397406202
15680.84767148039,61892.41671827621,3540.0,65432.41671827621
17019.326246412766,63995.009433020794,3780.0,67775.0094330208
18288.72203412358,65989.08119879641,4200.0,70189.08119879641
19251.652939224026,67501.73261047022,4590.0,72091.73261047022
19375.83346996104,67696.805646476,4560.0,72256.805646476
19178.42639312801,67386.70230275298,4500.0,71886.70230275298
19155.547372327415,67350.76204688578,4470.0,71820.76204688578
18980.143826111882,67075.22366672772,3810.0,70885.22366672772
18918.655460244256,66978.63266218262,1980.0,68958.63266218262
18928.163876412553,66993.56926777246,1875.0,68868.56926777246
19275.61492314174,67539.37407426335,2250.0,69789.37407426335
19479.294066364644,67859.3300979954,2355.0,70214.3300979954
20503.291551697625,69467.90993849577,2355.0,71822.90993849577
