Date,Time,Generation(MW),Demand(MW),Loadshed,Gas,Liquid Fuel,Coal,Hydro,Solar,Wind,India,India,India,Nepal,Remarks
Date,Time,Generation(MW),Demand(MW),Loadshed,Gas,Liquid Fuel,Coal,Hydro,Solar,Wind,Bheramara HVDC,Tripura,Adani,Nepal,Remarks
24-10-2025,04:00:00,12578.0,12630,50,5009,384,4622,217,0.0,0.0,887,84,1337.0,38.0,
24-10-2025,03:00:00,13063.0,13115,50,4993,711,4633,218,0.0,0.0,921,84,1465.0,38.0,
24-10-2025,02:00:00,13515.0,13570,53,4997,1178,4612,220,0.0,0.0,920,86,1464.0,38.0,
24-10-2025,01:00:00,13978.0,14070,88,5025,1562,4660,222,0.0,2.0,920,90,1459.0,38.0,
23-10-2025,24:00:00,14443.0,14550,102,5066,1967,4667,222,0.0,2.0,921,92,1468.0,38.0,
23-10-2025,23:00:00,14524.0,14630,101,5047,2096,4634,222,0.0,8.0,920,94,1465.0,38.0,
23-10-2025,22:00:00,14834.0,14900,63,4929,2467,4697,222,0.0,2.0,920,90,1469.0,38.0,
23-10-2025,21:00:00,15151.0,15200,47,4836,2866,4715,222,0.0,3.0,920,82,1469.0,38.0,
23-10-2025,20:00:00,15320.0,15380,57,4881,2981,4716,221,0.0,0.0,929,88,1466.0,38.0,
23-10-2025,19:30:00,15374.0,15450,73,4885,3040,4710,220,0.0,0.0,930,86,1465.0,38.0,
23-10-2025,19:00:00,15421.0,15510,85,4881,3078,4722,220,0.0,0.0,930,90,1462.0,38.0,Evening Peak
23-10-2025,18:00:00,15366.0,15480,109,5019,2779,4858,219,0.0,0.0,931,90,1432.0,38.0,
23-10-2025,17:00:00,13436.0,13600,157,4670,1690,4563,219,23.0,0.0,930,82,1221.0,38.0,
23-10-2025,16:00:00,13682.0,13850,160,5001,1542,4445,218,184.0,5.0,931,86,1232.0,38.0,
23-10-2025,15:00:00,13742.0,14050,294,4895,1496,4418,219,389.0,6.0,930,88,1263.0,38.0,
23-10-2025,14:00:00,13567.0,13940,356,4718,1450,4375,219,521.0,0.0,931,88,1227.0,38.0,
23-10-2025,13:00:00,13773.0,14150,360,4832,1444,4370,221,627.0,0.0,930,82,1229.0,38.0,
23-10-2025,12:00:00,13585.0,13850,253,5002,1317,4342,221,613.0,0.0,931,78,1043.0,38.0,Day Peak
23-10-2025,11:00:00,13333.0,13500,159,4905,1172,4327,221,655.0,0.0,931,72,1012.0,38.0,
23-10-2025,10:00:00,12779.0,12900,116,4741,796,4359,221,590.0,0.0,931,64,1039.0,38.0,
23-10-2025,09:00:00,12558.0,12650,88,4600,599,4423,220,500.0,1.0,931,64,1182.0,38.0,
23-10-2025,08:00:00,12441.0,12540,95,4685,594,4404,220,316.0,0.0,930,72,1182.0,38.0,
23-10-2025,07:00:00,12510.0,12590,76,4966,562,4382,220,111.0,1.0,930,72,1228.0,38.0,
23-10-2025,06:00:00,12303.0,12370,64,4897,552,4361,219,0.0,0.0,930,76,1230.0,38.0,
23-10-2025,05:00:00,12540.0,12640,96,4882,580,4499,219,0.0,0.0,930,74,1318.0,38.0,
23-10-2025,04:00:00,12885.0,13000,110,4881,827,4588,219,0.0,0.0,930,74,1328.0,38.0,
23-10-2025,03:00:00,13215.0,13350,129,4865,1021,4601,219,0.0,0.0,931,76,1464.0,38.0,
23-10-2025,02:00:00,13618.0,13750,126,4874,1369,4646,219,0.0,0.0,930,80,1462.0,38.0,
23-10-2025,01:00:00,14062.0,14250,180,4856,1740,4738,221,0.0,0.0,930,82,1457.0,38.0,
22-10-2025,24:00:00,14387.0,14700,299,4903,1881,4854,222,0.0,0.0,929,92,1468.0,38.0,
22-10-2025,23:00:00,14803.0,14950,140,4890,2199,4964,222,0.0,0.0,929,94,1467.0,38.0,
22-10-2025,22:00:00,15030.0,15108,74,4883,2481,4922,220,0.0,0.0,929,96,1461.0,38.0,
22-10-2025,21:00:00,15268.0,15370,97,5010,2606,4916,220,0.0,0.0,929,90,1459.0,38.0,
22-10-2025,20:00:00,15484.0,15650,159,4957,2842,4944,220,0.0,0.0,929,90,1464.0,38.0,
22-10-2025,19:30:00,15528.0,15700,164,4972,2871,4948,216,0.0,0.0,930,94,1459.0,38.0,
22-10-2025,19:00:00,15636.0,15800,157,4977,2894,5015,216,0.0,0.0,930,98,1468.0,38.0,Evening Peak
22-10-2025,18:00:00,14854.0,15100,235,4980,2575,4555,214,0.0,0.0,930,92,1470.0,38.0,
22-10-2025,17:00:00,13450.0,13710,248,4884,1589,4302,214,29.0,2.0,930,86,1376.0,38.0,
22-10-2025,16:00:00,13576.0,13950,357,4925,1481,4286,216,221.0,6.0,930,92,1381.0,38.0,
22-10-2025,15:00:00,13733.0,14100,350,5014,1444,4231,216,420.0,1.0,929,81,1376.0,38.0,
22-10-2025,14:00:00,13865.0,14200,320,5039,1413,4202,220,571.0,0.0,929,75,1378.0,38.0,
22-10-2025,13:00:00,13842.0,14150,294,5101,1365,4187,222,650.0,0.0,930,79,1270.0,38.0,
22-10-2025,12:00:00,13587.0,13850,251,5026,1293,4138,222,727.0,0.0,930,80,1133.0,38.0,Day Peak
22-10-2025,11:00:00,13233.0,13450,207,5058,1135,4092,222,653.0,0.0,930,79,1026.0,38.0,
22-10-2025,10:00:00,12996.0,13050,52,4925,946,4157,221,663.0,0.0,930,71,1045.0,38.0,
22-10-2025,09:00:00,12530.0,12630,96,4974,451,4285,221,528.0,0.0,929,72,1032.0,38.0,
22-10-2025,08:00:00,12454.0,12520,63,4921,323,4485,220,340.0,0.0,929,70,1128.0,38.0,
