,BD_demand
2013-01-01 00:00:00,36267.25478199758
2013-01-01 01:00:00,35599.565246318525
2013-01-01 02:00:00,34941.72528113767
2013-01-01 03:00:00,33192.41015923783
2013-01-01 04:00:00,32917.19574482431
2013-01-01 05:00:00,32476.910037716298
2013-01-01 06:00:00,33948.17058596039
2013-01-01 07:00:00,35717.6519184198
2013-01-01 08:00:00,37641.20448619499
2013-01-01 09:00:00,39100.9979074972
2013-01-01 10:00:00,40541.09218780302
2013-01-01 11:00:00,41761.90647971522
2013-01-01 12:00:00,42129.75767473527
2013-01-01 13:00:00,40908.943382823076
2013-01-01 14:00:00,40779.604247629875
2013-01-01 15:00:00,39834.00437013117
2013-01-01 16:00:00,37999.20611071685
2013-01-01 17:00:00,38562.180437448194
2013-01-01 18:00:00,42567.85058195934
2013-01-01 19:00:00,42996.560988248384
2013-01-01 20:00:00,42221.460316215496
2013-01-01 21:00:00,40922.31652988089
2013-01-01 22:00:00,38874.924855601836
2013-01-01 23:00:00,37060.47309654222
2013-01-02 00:00:00,36047.974793603964
2013-01-02 01:00:00,34875.941284619585
2013-01-02 02:00:00,33560.26135425787
2013-01-02 03:00:00,33236.26615691654
2013-01-02 04:00:00,32961.051742503034
2013-01-02 05:00:00,33136.94280278109
2013-01-02 06:00:00,34138.94417586283
2013-01-02 07:00:00,35447.93753269565
2013-01-02 08:00:00,37553.49249083755
2013-01-02 09:00:00,39057.141909818485
2013-01-02 10:00:00,40299.88420057004
2013-01-02 11:00:00,41147.922512213096
2013-01-02 12:00:00,41099.141729285264
2013-01-02 13:00:00,40251.10341764222
2013-01-02 14:00:00,39463.92431726816
2013-01-02 15:00:00,38178.44045775935
2013-01-02 16:00:00,37670.28612812642
2013-01-02 17:00:00,38233.26045485777
2013-01-02 18:00:00,41361.81064579445
2013-01-02 19:00:00,42009.801040477105
2013-01-02 20:00:00,41717.11634291017
2013-01-02 21:00:00,40308.332562378746
2013-01-02 22:00:00,38195.15689158162
2013-01-02 23:00:00,36446.48912904009
2013-01-03 00:00:00,35499.77482261992
2013-01-03 01:00:00,34196.173320599366
2013-01-03 02:00:00,33450.62136006106
2013-01-03 03:00:00,32644.21018825377
2013-01-03 04:00:00,32478.63576803707
2013-01-03 05:00:00,33158.870801620455
2013-01-03 06:00:00,34182.80017354156
2013-01-03 07:00:00,35908.42550832224
2013-01-03 08:00:00,37136.86051288967
2013-01-03 09:00:00,38925.573916782305
2013-01-03 10:00:00,40036.74821449769
2013-01-03 11:00:00,40862.85852730138
2013-01-03 12:00:00,41603.48570259059
2013-01-03 13:00:00,41172.07936889542
2013-01-03 14:00:00,41503.228209328816
2013-01-03 15:00:00,40119.06835504289
2013-01-03 16:00:00,39117.53405152431
2013-01-03 17:00:00,38627.96443396628
2013-01-03 18:00:00,42721.34657383488
2013-01-03 19:00:00,43171.984978963286
2013-01-03 20:00:00,42703.87629068146
2013-01-03 21:00:00,41602.0844939011
2013-01-03 22:00:00,39817.8288056944
2013-01-03 23:00:00,37948.55704953638
2013-01-04 00:00:00,36881.23874949972
2013-01-04 01:00:00,35862.70123239087
2013-01-04 02:00:00,34766.30129042277
2013-01-04 03:00:00,34025.674115133574
2013-01-04 04:00:00,33860.09969491687
2013-01-04 05:00:00,33465.86278537152
